level_0,index,name,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review
0,0,Clean & quiet apt home by the park,80014485718,UNCONFIRMED,Madaline,Brooklyn,Kensington,40.64749,-73.97237,United States,US,0,strict,Private room,2020.0,966,$193 ,10.0,9.0,10/19/2021
1,1,Skylit Midtown Castle,52335172823,VERIFIED,Jenna,Manhattan,Midtown,40.75362,-73.98377,United States,US,0,moderate,Entire home/apt,2007.0,142,$28 ,30.0,45.0,5/21/2022
2,4,Entire Apt: Spacious Studio/Loft by central park,92037596077,VERIFIED,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,United States,US,0,moderate,Entire home/apt,2009.0,204,$41 ,10.0,9.0,11/19/2018
3,5,Large Cozy 1 BR Apartment In Midtown East,45498551794,VERIFIED,Michelle,Manhattan,Murray Hill,40.74767,-73.975,United States,US,1,flexible,Entire home/apt,2013.0,577,$115 ,3.0,74.0,6/22/2019
4,7,BlissArtsSpace!,90821839709,UNCONFIRMED,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,United States,US,0,moderate,Private room,2009.0,1060,$212 ,45.0,49.0,10/5/2017
5,8,Large Furnished Room Near B'way,79384379533,VERIFIED,Evelyn,Manhattan,Hell's Kitchen,40.76489,-73.98493,United States,US,1,strict,Private room,2005.0,1018,$204 ,2.0,430.0,6/24/2019
6,9,Cozy Clean Guest Room - Family Apt,75527839483,UNCONFIRMED,Carl,Manhattan,Upper West Side,40.80178,-73.96723,United States,US,0,strict,Private room,2015.0,291,$58 ,2.0,118.0,7/21/2017
7,10,Cute & Cozy Lower East Side 1 bdrm,1280143094,VERIFIED,Miranda,Manhattan,Chinatown,40.71344,-73.99037,United States,US,0,flexible,Entire home/apt,2004.0,319,$64 ,1.0,160.0,6/9/2019
8,11,Beautiful 1br on Upper West Side,18824631834,VERIFIED,Alan,Manhattan,Upper West Side,40.80316,-73.96545,United States,US,1,flexible,Entire home/apt,2008.0,606,$121 ,5.0,53.0,6/22/2019
9,13,"Lovely Room 1, Garden, Best Area, Legal rental",26802410424,VERIFIED,Darcy,brookln,South Slope,40.66829,-73.98779,United States,US,1,moderate,Private room,2010.0,580,$116 ,4.0,167.0,6/24/2019
10,14,Wonderful Guest Bedroom in Manhattan for SINGLES,88920244552,VERIFIED,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,United States,US,0,flexible,Private room,2019.0,149,$30 ,2.0,113.0,7/5/2019
11,35,Large B&B Style rooms,57938703679,UNCONFIRMED,Jared,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,United States,US,1,strict,Private room,2016.0,191,$38 ,1.0,74.0,5/12/2019
12,36,"Lovely room 2 & garden; Best area, Legal rental",53343148512,VERIFIED,Brad,Brooklyn,South Slope,40.66869,-73.9878,United States,US,1,moderate,Private room,2003.0,1111,$222 ,4.0,168.0,6/21/2019
13,38,Cute apt in artist's home,88653822946,VERIFIED,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,United States,US,1,moderate,Entire home/apt,2005.0,1097,$219 ,2.0,231.0,6/22/2019
14,41,ENJOY Downtown NYC!,63131487263,UNCONFIRMED,Byron,Manhattan,East Village,40.7229,-73.98199,United States,US,0,strict,Private room,2005.0,563,$113 ,2.0,245.0,6/21/2019
